n,alpha,beta,rep,N_opt,theta22_hat,sigma2_hat,h_hat
100,2.0,5.0,9,1,2958.461425459618,1.1159426210108763,0.16754396910550662
100,2.0,5.0,10,1,2512.5001946681514,1.033696430428012,0.1704790400980203
100,2.0,5.0,11,2,156821.62180573997,1.0888062881324516,0.07535681678751677
100,2.0,5.0,12,1,2127.424824699046,1.166097847145935,0.1805467865403054
100,2.0,5.0,13,1,11660.208746396818,1.1727994756786118,0.1286225443715454
100,2.0,5.0,14,1,1490.1381599658334,0.7924245950480816,0.179456788256466
100,2.0,5.0,15,1,23703.822721322606,1.1010881406752762,0.11020831129079965
100,2.0,5.0,16,1,5000.450920696631,1.3244703550885852,0.15610622566785737
100,2.0,5.0,17,1,20859.842064387944,1.0886377528929603,0.11280493092122156
100,2.0,5.0,18,1,4260.8169026778305,0.7552632703871461,0.1440571131534854
100,2.0,5.0,19,2,165985.07412356517,1.0362210713273279,0.07377178389728982
100,2.0,5.0,20,1,12230.788765499234,1.1847978536157875,0.12765903802738995
100,2.0,5.0,21,1,4878.149718785593,0.7369555611831902,0.13952461855490736
100,2.0,5.0,22,1,5852.143813852275,1.034813084048841,0.143986903819098
100,2.0,5.0,23,2,101305.19891229617,0.9695315996624293,0.08035254854280578
100,2.0,5.0,24,1,5111.945724619183,1.0126599392130562,0.14729536738462706
100,2.0,5.0,25,1,6831.639342400144,1.027407683186869,0.13939820597456262
100,2.0,5.0,26,2,64140.824332704804,0.8439709989993345,0.08563517826467196
100,2.0,5.0,27,1,7064.201421028709,0.9243309239381954,0.13557090359535104
100,2.0,5.0,28,1,7797.955464276607,0.9996706862749861,0.13501712318729492
100,2.0,5.0,29,1,7885.353492028428,1.2802088109534553,0.14154858681335253
100,2.0,5.0,30,3,19718423.63808602,0.9070819076694443,0.027629210247549957
100,2.0,5.0,31,1,7324.426286580519,0.9290414887657938,0.13473049585684313
100,2.0,5.0,32,1,2471.3970354945104,1.2782326993643325,0.17846254796898087
100,2.0,5.0,33,2,265776.6149799364,1.2105095072705117,0.0692634143982201
100,2.0,5.0,34,1,2352.6100554626987,0.9276181320949535,0.16903532187237444
100,2.0,5.0,35,1,7834.6736102477325,0.9283640281577983,0.1329086014178713
100,2.0,5.0,36,2,224389.51798000917,0.946073519654861,0.06820215118920545
100,2.0,5.0,37,1,1320.1902183121772,1.125095560001475,0.19720784571317002
100,2.0,5.0,38,2,61645.93583661809,1.1454326350614354,0.09175434291183418
100,2.0,5.0,39,3,4481513.163673517,0.7867668103506015,0.03611585325835025
100,2.0,5.0,40,1,999.944887818981,1.1373111833543503,0.20892685071186348
100,2.0,5.0,41,1,3288.446726926535,0.9474244268364712,0.15875388507107216
100,2.0,5.0,42,1,2022.5407562811483,0.8232075849905673,0.1701124209092689
100,2.0,5.0,43,1,7321.273291994409,1.0376623869287742,0.1377550409108185
100,2.0,5.0,44,1,7031.513298259765,0.6572053834909652,0.12674886260663168
100,2.0,5.0,45,2,60109.25145760887,0.9242241409167486,0.08834476229894134
100,2.0,5.0,46,1,1756.8878033016433,1.1417338059217235,0.1868003886073516
100,2.0,5.0,47,1,3528.6120489332516,0.9133906253209598,0.15539038270425543
100,2.0,5.0,48,2,723064.9461003098,1.0525853544143144,0.05513528349098322
100,2.0,5.0,49,3,5867630.181716941,0.8796081772367499,0.0349928176575418
100,2.0,5.0,50,1,3229.519287814436,1.0086258980180713,0.16133628607836256
100,2.0,5.0,51,1,1756.3926340774547,0.7949818208326648,0.1737643687392785
100,2.0,5.0,52,1,19095.809804072098,1.0499183859326677,0.11398746647849649
100,2.0,5.0,53,2,333045.6143400127,0.9422936483077184,0.0629723814937155
100,2.0,5.0,54,2,298826.33277026523,1.0471634250452877,0.06572532296209004
100,2.0,5.0,55,1,1729.424345789189,1.0397188518687839,0.18391471517084867
100,2.0,5.0,56,1,2131.8850176798805,1.076925717749556,0.17762251008835123
100,2.0,5.0,57,1,13879.18868967826,0.8622414178903735,0.11680638113279161
100,2.0,5.0,58,1,39876.088620491704,1.2082968096464892,0.10118259749055257
100,2.0,5.0,59,1,9084.067127675062,0.9700984081898432,0.1301729359985372
100,2.0,5.0,60,1,5438.257090983545,1.106675361404547,0.14808999215884755
100,2.0,5.0,61,1,6284.891476579071,0.9842307093293352,0.14053141998734184
100,2.0,5.0,62,1,40738.13346693431,1.0445958895352971,0.09785951207435849
100,2.0,5.0,63,1,10239.78545614314,0.8212284166303949,0.12292726839155531
100,2.0,5.0,64,2,44070.33651999036,1.073183366307565,0.09685434803504196
100,2.0,5.0,65,1,6692.550422771921,0.8924073672500896,0.1360842637111009
100,2.0,5.0,66,1,984.3279981950654,1.0284039747626232,0.20540849023369823
100,2.0,5.0,67,1,773.0816780124562,1.0680365299395422,0.2172129701576946
100,2.0,5.0,68,1,15149.314991970681,1.21587566539211,0.12294555818439509
100,2.0,5.0,69,1,2224.2357141378925,1.1694242753336628,0.17904898683772177
100,2.0,5.0,70,1,1296.8127936745077,0.9913548609558493,0.19296741527623532
100,2.0,5.0,71,1,3652.762587836387,1.1500826687803578,0.16159768370659253
100,2.0,5.0,72,1,1187.0101129093352,0.9402359924649476,0.19434353564606868
100,2.0,5.0,73,1,2656.0025923894123,1.3001416601807987,0.17650867094491463
100,2.0,5.0,74,1,9633.201492470798,1.2926259414229417,0.13625550368697442
100,2.0,5.0,75,1,7704.4370764470195,1.1555510321897768,0.13932313951972655
100,2.0,5.0,76,1,1411.6007541392362,1.0789851783164743,0.19296312699440085
100,2.0,5.0,77,2,206678.13340582774,0.8254814955889386,0.06746774133520783
100,2.0,5.0,78,1,13880.35893877669,1.0430111145287468,0.12133644227215358
100,2.0,5.0,79,2,201776.92912795304,0.7783765888333078,0.06700037913999264
100,2.0,5.0,80,1,6464.596509092304,0.8900350327779524,0.13695779157654947
100,2.0,5.0,81,1,4528.843676875614,0.8881376475452392,0.14699826159085363
100,2.0,5.0,82,1,5934.393544186722,1.0951344618357366,0.1452218046225775
100,2.0,5.0,83,1,3532.354628399017,1.0793682694811633,0.16063296608579172
100,2.0,5.0,84,1,8115.689266365047,1.0289658097965455,0.13471895818590474
100,2.0,5.0,85,1,4086.05844702347,1.0352571684272025,0.15472565976607452
100,2.0,5.0,86,2,266725.9646989507,1.306613348151145,0.07027971118141757
100,2.0,5.0,87,2,12296.264196192338,0.8962642350502019,0.12059968820871449
100,2.0,5.0,88,1,6017.829682975878,1.057398708824557,0.1438048010498706
100,2.0,5.0,89,1,874.7685794006883,1.1654857574012867,0.2156434979705373
100,2.0,5.0,90,1,2677.677011424583,1.2787588896952415,0.175638493760715
100,2.0,5.0,91,1,9332.289916831882,1.0958976202676636,0.13266915444773333
100,2.0,5.0,92,1,2340.6658375245042,0.8845987625318652,0.16760809540606553
100,2.0,5.0,93,2,399822.6151193782,0.9327423848129036,0.06058881800910384
100,2.0,5.0,94,1,19901.368502013687,1.1744887288669597,0.11561303210197729
100,2.0,5.0,95,1,5207.701230314692,1.3148260278313546,0.15461728937463573
100,2.0,5.0,96,1,32288.57091356415,1.06612895514981,0.10293564539796915
100,2.0,5.0,97,1,17647.699365017383,0.9365319599408067,0.11318281991236391
100,2.0,5.0,98,2,268262.2604477791,1.3540036331694432,0.07070101665803254
100,2.0,5.0,99,1,3924.172616736664,0.9783139955125382,0.15422672682233887
100,2.0,5.0,100,1,8704.452963212249,1.063870191098184,0.13373437130571128
100,5.0,2.0,1,1,1154.0224649494126,0.9168797502511051,0.19446132137632915
100,5.0,2.0,2,1,3138.270220992589,0.7718071824175253,0.15380742623134327
100,5.0,2.0,3,2,720645.1356377096,0.9853875970475036,0.05444910372034111
100,5.0,2.0,4,1,390.8106528539922,1.1024012036225763,0.25054645712723067
100,5.0,2.0,5,1,426.7485409374341,0.9705290117889037,0.2399832355235532
100,5.0,2.0,6,1,229.32548668237462,0.9418553409603642,0.2700971396955447
100,5.0,2.0,7,1,618.3478090560005,0.74470069077936,0.21133109092624108
100,5.0,2.0,8,1,4118.175573162798,1.2349507539102111,0.16003042740261333
100,5.0,2.0,9,1,999.5830331002584,0.9115919926942962,0.19989868355530932
100,5.0,2.0,10,1,1458.2618296581993,0.8454085496673138,0.18258278798717292
100,5.0,2.0,11,1,2677.5941944221013,1.1010762577687567,0.17046221875143272
100,5.0,2.0,12,1,2215.8854593667884,0.9075040320418136,0.17032322041151418
100,5.0,2.0,13,1,1315.3444656227578,1.0399792897240798,0.19427219479847532
100,5.0,2.0,14,1,958.3201246801399,0.7308154394870315,0.19287370803490378
100,5.0,2.0,15,1,739.2728835660264,1.3012017654727275,0.22799303628842393
100,5.0,2.0,16,1,5887.322409735281,1.1096500072457052,0.1458368411823396
100,5.0,2.0,17,1,1121.0156898571765,1.0611848607311283,0.20139536892920795
100,5.0,2.0,18,1,5671.324917591709,1.048507008997858,0.14527502893214722
100,5.0,2.0,19,2,616304.0134443532,0.9113090041121694,0.055307972972930004
100,5.0,2.0,20,1,2654.5824989425705,0.987179559951824,0.16706812339687666
100,5.0,2.0,21,1,1541.6249689681022,0.9923350365875091,0.18644447867482494
100,5.0,2.0,22,1,1034.5321726491027,0.812800446634803,0.19402674381308277
100,5.0,2.0,23,1,969.8214091075387,0.9732220776855632,0.20375939663342466
100,5.0,2.0,24,1,5100.493343489429,0.8548736727622972,0.14245298708029797
100,5.0,2.0,25,1,255.96762661349237,1.3073759504052906,0.28213482680102175
100,5.0,2.0,26,1,1065.429892570542,1.0029527986504343,0.20117070239514884
100,5.0,2.0,27,1,6390.015971328424,0.8098548872130307,0.13470839496986273
100,5.0,2.0,28,1,3275.571506802028,1.0972476097122077,0.1636127410744576
100,5.0,2.0,29,1,2053.2838843438067,0.8169936844637775,0.1693431168927814
100,5.0,2.0,30,2,516539.54075729876,1.161788674745523,0.06014760267338518
100,5.0,2.0,31,1,384.8980084396178,1.0218316591856542,0.24752572824415398
100,5.0,2.0,32,1,225.04148040041656,1.0886334280787167,0.279085598761434
100,5.0,2.0,33,1,118.78133253129116,1.055398122760916,0.31517171413540956
100,5.0,2.0,34,1,1096.9818490462394,0.8922213426536103,0.19537466307071233
100,5.0,2.0,35,2,888107.1740384788,0.8803935435039775,0.05105707171350498
100,5.0,2.0,36,1,9.108737952761235,1.1751553915643518,0.5381966953048991
100,5.0,2.0,37,1,14125.756336589857,1.0774509205990743,0.12170005263624922
100,5.0,2.0,38,1,12279.685404525453,0.8594755186285498,0.1196252512333754
100,5.0,2.0,39,1,6823.958963913881,0.9466569226503316,0.13716548725745842
100,5.0,2.0,40,1,2674.838716674646,0.7730540447676811,0.15885323374003446
100,5.0,2.0,41,4,36345541.10918378,0.9968237306009347,0.024914206212636462
100,5.0,2.0,42,1,205.04609066875727,0.8683310605000462,0.27175677334853554
100,5.0,2.0,43,2,350164.8513459806,0.7375192073480143,0.05936271640480275
100,5.0,2.0,44,1,344.88712881739394,0.904478196446633,0.24692088901484827
100,5.0,2.0,45,1,614.9323131013704,1.2514164745792706,0.23470833874761535
100,5.0,2.0,46,1,381.0586179956871,0.9951443072151479,0.2467132440242744
100,5.0,2.0,47,1,2091.0334156134345,0.9468714028264991,0.17377992854458085
100,5.0,2.0,48,1,195.50131369383962,0.9257325934083266,0.27789503261238613
100,5.0,2.0,49,3,543102.2739242361,1.0014852731439137,0.05780510549472348
100,5.0,2.0,50,1,3942.7050884326036,1.1676761902956525,0.1596317354520505
100,5.0,2.0,51,1,5457.976868160553,1.0244666655260029,0.14571586445110332
100,5.0,2.0,52,1,448.5160557969902,0.8957396653791253,0.23382684576639662
100,5.0,2.0,53,1,809.1335583757232,0.9251319550059438,0.20914635618931196
100,5.0,2.0,54,1,4640.788104973184,1.111677697046628,0.15299986216155823
100,5.0,2.0,55,3,5786952.743994449,0.7013229167075646,0.03353568855784764
100,5.0,2.0,56,1,7643.215615915259,1.0257240054428869,0.13625877824264213
100,5.0,2.0,57,1,1734.8882866118,0.9650560133386098,0.18107971827479794
100,5.0,2.0,58,1,4410.752802869327,0.8364398230177932,0.14601517907297676
100,5.0,2.0,59,1,17.558160963656366,1.3597418085117488,0.48596959017701763
100,5.0,2.0,60,1,3066.2092188259016,0.8872282080981979,0.15889137381689683
100,5.0,2.0,61,1,2426.3593001530226,1.0783940270373562,0.17313229306717764
100,5.0,2.0,62,1,507.5793226735796,0.9103694755168719,0.22885286936466853
100,5.0,2.0,63,1,1451.9248142837162,0.8926008534707109,0.18473800225893713
100,5.0,2.0,64,1,1937.2856871903132,0.8975331692192006,0.17457617603717185
100,5.0,2.0,65,1,974.0677452396941,0.9469777306196387,0.20247142039889557
100,5.0,2.0,66,1,647.6904243329477,1.0243283039178297,0.22316595836594486
100,5.0,2.0,67,1,13278.820464752112,0.8386597508859012,0.11719224372653946
100,5.0,2.0,68,5,70874737.09553505,0.8098496456934068,0.02091203013112464
100,5.0,2.0,69,2,632510.3781223453,0.724844898386762,0.05255924221334121
100,5.0,2.0,70,1,2070.437507600388,1.1180792181936932,0.18000961315628497
100,5.0,2.0,71,1,2692.5444265815368,1.0667233571972041,0.16919650749869594
100,5.0,2.0,72,1,583.4158307147121,0.6653834494541304,0.20904142913749457
100,5.0,2.0,73,1,5125.22692365429,1.0519072478332168,0.1483428021995356
100,5.0,2.0,74,1,1727.6352709125977,1.1201731264139172,0.18671543741158658
100,5.0,2.0,75,1,49.494887231045894,0.9018632423627312,0.36385611520905853
100,5.0,2.0,76,1,6913.915151116412,0.7954783234677906,0.1321278809001676
100,5.0,2.0,77,4,5994139.817338629,1.0017600264782383,0.03576193213302108
100,5.0,2.0,78,1,525.9661669851831,1.1477817670900086,0.2380092914242974
100,5.0,2.0,79,1,1344.4002858674319,0.9835809621205447,0.19128015386726763
100,5.0,2.0,80,2,343302.3639073696,0.9216205238482521,0.062314437289051866
100,5.0,2.0,81,1,1452.926013722784,1.1525491480289707,0.19440024134247083
100,5.0,2.0,82,1,279.5682782959407,1.0853426172220384,0.2670726414493634
100,5.0,2.0,83,1,880.6531984948157,1.1451329307594904,0.21459707902577838
100,5.0,2.0,84,1,600.1808767077114,1.1125833000444525,0.23036881350971225
100,5.0,2.0,85,1,443.1174921776622,0.9809893090017033,0.23869464992920217
100,5.0,2.0,86,1,1434.6609280175574,1.2092648342027943,0.19677414745498623
100,5.0,2.0,87,1,3812.308360953917,0.8283016696898141,0.1500422996835202
100,5.0,2.0,88,1,232.71792621729568,1.1386656727297957,0.2797221688181226
100,5.0,2.0,89,1,418.35460396597705,0.9125128873069689,0.23798659734867955
100,5.0,2.0,90,4,28401818.07848734,1.0790528593059205,0.026592117714292634
100,5.0,2.0,91,1,347.59610939329446,1.251066448224636,0.26305993164706826
100,5.0,2.0,92,1,1299.8682776722067,1.1059711638484633,0.19714351724821177
100,5.0,2.0,93,1,3971.446222046283,0.9919650282740765,0.15428480073212217
100,5.0,2.0,94,1,414.32080827916644,1.1492367409187958,0.24970552989196212
